id,nba_api_id,first_name,last_name,display_name,birth_date,height_inches,weight_lbs,draft_year,bball_ref_id,position,team_id,status,is_active
29,1631094,Paolo,Banchero,Paolo Banchero,2002-11-12,82,250,2022,banchpa01,Forward,20,active,true
30,1630217,Desmond,Bane,Desmond Bane,1998-06-25,78,215,2020,banede01,Guard,20,active,true
31,1631230,Dominick,Barlow,Dominick Barlow,2003-05-26,81,224,Undrafted,barlodo01,Forward,22,active,true
32,203084,Harrison,Barnes,Harrison Barnes,1992-05-30,79,225,2012,barneha02,Forward,26,active,true
33,1630567,Scottie,Barnes,Scottie Barnes,2001-08-01,80,237,2021,barnesc01,Forward-Guard,28,active,true
34,1642964,Brooks,Barnhizer,Brooks Barnhizer,2002-03-02,77,230,2025,barnhbr01,Guard,27,active,true
35,1629628,RJ,Barrett,RJ Barrett,2000-06-14,78,214,2019,barrerj01,Forward-Guard,28,active,true
36,1629646,Charles,Bassey,Charles Bassey,2000-10-28,82,230,2021,bassech01,Center-Forward,11,active,true
37,1642419,Jamison,Battle,Jamison Battle,2001-05-10,79,220,Undrafted,battlja01,Forward,28,active,true
38,201587,Nicolas,Batum,Nicolas Batum,1988-12-14,79,230,2008,batumni01,Guard-Forward,13,active,true
39,203078,Bradley,Beal,Bradley Beal,1993-06-28,76,207,2012,bealbr01,Guard,13,active,true
40,1642866,Joan,Beringer,Joan Beringer,2006-11-11,83,230,2025,berinjo01,Forward,17,active,true
41,1630180,Saddiq,Bey,Saddiq Bey,1999-04-09,80,215,2020,beysa01,Guard-Forward,7,active,true
42,1629048,Goga,Bitadze,Goga Bitadze,1999-07-20,83,250,2019,bitadgo01,Center-Forward,20,active,true
43,202687,Bismack,Biyombo,Bismack Biyombo,1992-08-28,80,255,2011,biyombi01,Center,26,active,true
44,1641710,Anthony,Black,Anthony Black,2004-01-20,79,200,2023,blackan01,Guard,20,active,true
45,203992,Bogdan,Bogdanović,Bogdan Bogdanović,1992-08-18,77,225,2014,bogdabo01,Guard,13,active,true
46,1641737,Adem,Bona,Adem Bona,2003-03-28,82,235,2024,bonaad01,Forward,22,active,true
47,1626164,Devin,Booker,Devin Booker,1996-10-30,77,206,2015,bookede01,Guard,23,active,true
48,1628449,Chris,Boucher,Chris Boucher,1993-01-11,80,200,Undrafted,bouchch01,Forward,,active,true
49,1628396,Tony,Bradley,Tony Bradley,1998-01-08,82,248,2017,bradlto01,Center-Forward,4,active,true
50,1631103,Malaki,Branham,Malaki Branham,2003-05-12,76,180,2022,branhma01,Forward,,active,true
51,1631128,Christian,Braun,Christian Braun,2001-04-17,78,220,2022,braunch01,Guard,10,active,true
52,1642886,Koby,Brea,Koby Brea,2002-11-06,77,215,2025,breako01,Guard,23,active,true
53,1628969,Mikal,Bridges,Mikal Bridges,1996-08-30,78,209,2018,bridgmi01,Guard-Forward,19,active,true
54,1628970,Miles,Bridges,Miles Bridges,1998-03-21,79,225,2018,bridgmi02,Forward,33,active,true
55,1628415,Dillon,Brooks,Dillon Brooks,1996-01-22,79,225,2017,brookdi01,Guard-Forward,23,active,true
56,1641780,Johni,Broome,Johni Broome,2002-07-19,81,244,2025,broomjo01,Forward,22,active,true
57,1628971,Bruce,Brown,Bruce Brown,1996-08-15,76,202,2018,brownbr01,Guard-Forward,10,active,true
58,1627759,Jaylen,Brown,Jaylen Brown,1996-10-24,78,223,2016,brownja02,Guard-Forward,5,active,true
59,1641738,Kobe,Brown,Kobe Brown,2000-01-01,79,250,2023,brownko01,Forward,21,active,true
60,1628973,Jalen,Brunson,Jalen Brunson,1996-08-31,74,190,2018,brunsja01,Guard,19,active,true
61,1642868,Carter,Bryant,Carter Bryant,2005-11-26,78,220,2025,bryanca01,Forward,26,active,true
62,1628418,Thomas,Bryant,Thomas Bryant,1997-07-31,81,248,2017,bryanth01,Center-Forward,6,active,true
63,202710,Jimmy,Butler III,Jimmy Butler III,1989-09-14,78,230,2011,butleji01,Forward,11,active,true
64,1641824,Matas,Buzelis,Matas Buzelis,2004-10-13,80,196,2024,buzelma01,Forward,8,active,true
65,1631288,Jamal,Cain,Jamal Cain,1999-03-20,79,191,Undrafted,cainja01,Forward,20,active,true
66,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,1993-02-18,77,204,2013,caldwke01,Guard,30,active,true
67,1641739,Toumani,Camara,Toumani Camara,2000-05-08,79,230,2023,camarto01,Forward,24,active,true
68,203991,Clint,Capela,Clint Capela,1994-05-18,82,256,2014,capelca01,Center,12,active,true
69,1642928,Dylan,Cardwell,Dylan Cardwell,2001-12-16,82,255,Undrafted,cardwdy01,Center,25,active,true
70,1642382,Branden,Carlson,Branden Carlson,1999-06-14,84,220,Undrafted,carlsbr01,Center,27,active,true
71,1642267,Bub,Carrington,Bub Carrington,2005-07-21,76,190,2024,carrica01,Guard,31,active,true
72,1642269,Devin,Carter,Devin Carter,2002-03-18,74,195,2024,cartede02,Guard,25,active,true
73,1628975,Jevon,Carter,Jevon Carter,1995-09-14,72,190,2018,carteje01,Guard,20,active,true
74,1628976,Wendell,Carter Jr.,Wendell Carter Jr.,1999-04-16,82,270,2018,cartewe01,Center-Forward,20,active,true
75,1627936,Alex,Caruso,Alex Caruso,1994-02-28,77,186,Undrafted,carusal01,Guard,27,active,true
76,1642264,Stephon,Castle,Stephon Castle,2004-11-01,78,215,2024,castlst01,Guard,26,active,true
77,1630658,Colin,Castleton,Colin Castleton,2000-05-25,82,250,Undrafted,castlco01,Center,20,active,true
78,1630577,Julian,Champagnie,Julian Champagnie,2001-06-29,79,217,Undrafted,champju02,Forward,26,active,true
79,1630551,Justin,Champagnie,Justin Champagnie,2001-06-29,78,206,Undrafted,champju01,Guard-Forward,31,active,true
80,1642353,Cam,Christie,Cam Christie,2005-07-24,77,190,2024,chrisca02,Guard,13,active,true
81,1631108,Max,Christie,Max Christie,2003-02-10,77,190,2022,chrisma02,Guard,9,active,true
82,1630619,Moussa,Cisse,Moussa Cisse,2002-09-10,83,220,Undrafted,cissemo01,Center,9,active,true
83,1631321,Sidy,Cissoko,Sidy Cissoko,2004-04-02,78,220,2023,cissosi01,Guard,24,active,true
84,1641740,Jaylen,Clark,Jaylen Clark,2001-10-13,77,205,2023,clarkja02,Guard,17,active,true
85,1629634,Brandon,Clarke,Brandon Clarke,1996-09-19,80,215,2019,clarkbr01,Forward,30,active,true
86,203903,Jordan,Clarkson,Jordan Clarkson,1992-06-07,77,194,2014,clarkjo01,Guard,19,active,true
87,1629651,Nic,Claxton,Nic Claxton,1999-04-17,83,215,2019,claxtni01,Center,18,active,true
88,1642383,Walter,Clayton Jr.,Walter Clayton Jr.,2003-03-06,76,195,2025,claytwa01,Guard,30,active,true
89,1642363,Nique,Clifford,Nique Clifford,2002-02-09,77,175,2025,cliffni01,Guard,25,active,true
90,1642270,Donovan,Clingan,Donovan Clingan,2004-02-23,86,280,2024,clingdo01,Center,24,active,true
91,1641730,Noah,Clowney,Noah Clowney,2004-07-14,82,210,2023,clownno01,Forward-Center,18,active,true
92,1629599,Amir,Coffey,Amir Coffey,1997-06-17,79,210,Undrafted,coffeam01,Guard-Forward,23,active,true
93,1642268,Isaiah,Collier,Isaiah Collier,2004-10-08,76,210,2024,colliis01,Guard,29,active,true
94,1628381,John,Collins,John Collins,1997-09-23,81,226,2017,collijo01,Forward-Center,13,active,true
95,1628380,Zach,Collins,Zach Collins,1997-11-19,81,240,2017,colliza01,Forward-Center,8,active,true
96,201144,Mike,Conley,Mike Conley,1987-10-11,73,175,2007,conlemi01,Guard,17,active,true
97,1626192,Pat,Connaughton,Pat Connaughton,1993-01-06,77,209,2015,connapa01,Guard,33,active,true
98,1631451,Javonte,Cooke,Javonte Cooke,1999-07-11,78,185,Undrafted,cookeja01,Guard,,active,true
99,1630536,Sharife,Cooper,Sharife Cooper,2001-06-11,72,176,2021,coopesh01,Guard,31,active,true
100,1641731,Bilal,Coulibaly,Bilal Coulibaly,2004-07-26,79,195,2023,coulibi01,Guard,31,active,true
101,1642907,Cedric,Coward,Cedric Coward,2003-09-11,77,206,2025,cowarce01,Guard,30,active,true
102,1642384,Isaiah,Crawford,Isaiah Crawford,2001-11-01,78,220,Undrafted,crawfis01,Forward,12,active,true
103,1630595,Cade,Cunningham,Cade Cunningham,2001-09-25,78,220,2021,cunnica01,Guard,32,active,true
104,201939,Stephen,Curry,Stephen Curry,1988-03-14,74,185,2009,curryst01,Guard,11,active,true
105,1642359,Pacôme,Dadiet,Pacôme Dadiet,2005-07-27,81,210,2024,dadiepa01,Forward,19,active,true
106,1630700,Dyson,Daniels,Dyson Daniels,2003-03-17,79,199,2022,daniedy01,Guard,4,active,true
107,1642368,N'Faly,Dante,N'Faly Dante,2001-10-19,83,230,Undrafted,nfalyda01,Center,,active,true
108,203076,Anthony,Davis,Anthony Davis,1993-03-11,82,253,2012,davisan02,Forward-Center,31,active,true
109,1631120,JD,Davison,JD Davison,2002-10-03,73,195,2022,davisjd01,Guard,12,active,true
110,201942,DeMar,DeRozan,DeMar DeRozan,1989-08-07,78,220,2009,derozde01,Guard-Forward,25,active,true
111,1642484,RayJ,Dennis,RayJ Dennis,2001-03-30,73,180,Undrafted,dennira01,Guard,4,active,true
112,1628978,Donte,DiVincenzo,Donte DiVincenzo,1997-01-31,76,203,2018,divindo01,Guard,17,active,true
113,1631217,Moussa,Diabaté,Moussa Diabaté,2002-01-21,82,210,2022,diabamo01,Forward,33,active,true
114,1642885,Mohamed,Diawara,Mohamed Diawara,2005-04-29,81,225,2025,diawamo01,Forward,19,active,true
115,1641711,Gradey,Dick,Gradey Dick,2003-11-20,79,200,2023,dickgr01,Guard-Forward,28,active,true
116,1630621,Hunter,Dickinson,Hunter Dickinson,2000-11-25,85,255,Undrafted,dickihu01,Center,7,active,true
117,1631172,Ousmane,Dieng,Ousmane Dieng,2003-05-21,81,185,2022,diengou01,Forward,16,active,true
118,1642265,Rob,Dillingham,Rob Dillingham,2005-01-04,74,175,2024,dilliro01,Guard,8,active,true
119,1629029,Luka,Dončić,Luka Dončić,1999-02-28,80,230,2018,doncilu01,Forward-Guard,14,active,true
120,1629652,Luguentz,Dort,Luguentz Dort,1999-04-19,76,220,Undrafted,dortlu01,Guard,27,active,true
121,1630245,Ayo,Dosunmu,Ayo Dosunmu,2000-01-17,76,201,2021,dosunay01,Guard,17,active,true
122,203083,Andre,Drummond,Andre Drummond,1993-08-10,83,279,2012,drumman01,Center,22,active,true
123,1627739,Kris,Dunn,Kris Dunn,1994-03-18,75,205,2016,dunnkr01,Guard,13,active,true
124,1642346,Ryan,Dunn,Ryan Dunn,2003-01-07,79,216,2024,dunnry01,Forward,23,active,true
125,201142,Kevin,Durant,Kevin Durant,1988-09-29,83,240,2007,duranke01,Forward,12,active,true
126,1631105,Jalen,Duren,Jalen Duren,2003-11-18,82,250,2022,durenja01,Center,32,active,true
127,1642856,Egor,Dëmin,Egor Dëmin,2006-03-03,80,200,2025,demineg01,Guard,18,active,true
128,1631106,Tari,Eason,Tari Eason,2001-05-10,80,215,2022,easonta01,Forward,12,active,true
129,1641744,Zach,Edey,Zach Edey,2002-05-14,87,305,2024,edeyza01,Center,30,active,true
130,1642845,VJ,Edgecombe,VJ Edgecombe,2005-07-30,76,190,2025,edgecvj01,Guard,22,active,true
131,1630162,Anthony,Edwards,Anthony Edwards,2001-08-05,76,225,2020,edwaran01,Guard,17,active,true
132,1642348,Justin,Edwards,Justin Edwards,2003-12-16,79,217,Undrafted,edwarju01,Forward,22,active,true
133,1631165,Keon,Ellis,Keon Ellis,2000-01-08,76,175,Undrafted,elliske01,Guard,6,active,true
134,203954,Joel,Embiid,Joel Embiid,1994-03-16,84,270,2014,embiijo01,Center-Forward,22,active,true
135,1642855,Noa,Essengue,Noa Essengue,2006-12-18,80,194,2025,essenno01,Forward,8,active,true
136,1630623,Tyson,Etienne,Tyson Etienne,1999-09-17,72,200,Undrafted,etienty01,Guard,18,active,true
137,1629234,Drew,Eubanks,Drew Eubanks,1997-02-01,82,245,Undrafted,eubandr01,Forward-Center,25,active,true
138,1641787,Tosan,Evbuomwan,Tosan Evbuomwan,2001-02-16,80,217,Undrafted,evbuoto01,Forward,33,active,true
139,203957,Dante,Exum,Dante Exum,1995-07-13,77,214,2014,exumda01,Guard,9,active,true
140,1642847,Jeremiah,Fears,Jeremiah Fears,2006-10-14,75,190,2025,fearsje01,Guard,7,active,true
141,1642271,Kyle,Filipowski,Kyle Filipowski,2003-11-07,83,250,2024,filipky01,Center,29,active,true
142,1627827,Dorian,Finney-Smith,Dorian Finney-Smith,1993-05-04,79,220,Undrafted,finnedo01,Forward,12,active,true
143,1642843,Cooper,Flagg,Cooper Flagg,2006-12-21,81,205,2025,flaggco01,Forward,9,active,true
144,1642853,Rasheer,Fleming,Rasheer Fleming,2004-07-10,81,240,2025,flemira01,Forward,23,active,true
145,1642280,Trentyn,Flowers,Trentyn Flowers,2005-03-08,81,185,Undrafted,flowetr01,Forward,,active,true
146,1631323,Simone,Fontecchio,Simone Fontecchio,1995-12-09,79,209,Undrafted,fontesi01,Forward,15,active,true
147,1628368,De'Aaron,Fox,De'Aaron Fox,1997-12-20,75,185,2017,foxde01,Guard,26,active,true
148,1642402,Enrique,Freeman,Enrique Freeman,2000-07-29,81,220,2024,freemen01,Forward,17,active,true
149,1642277,Johnny,Furphy,Johnny Furphy,2004-12-08,80,200,2024,furphjo01,Guard,21,active,true
150,1629655,Daniel,Gafford,Daniel Gafford,1998-10-01,82,265,2019,gaffoda01,Forward-Center,9,active,true
151,1642066,Myron,Gardner,Myron Gardner,2001-05-21,77,220,Undrafted,gardnmy01,Forward,15,active,true
152,1629636,Darius,Garland,Darius Garland,2000-01-26,73,192,2019,garlada01,Guard,13,active,true
153,1630568,Luka,Garza,Luka Garza,1998-12-27,82,243,2021,garzalu01,Center,5,active,true
154,1641718,Keyonte,George,Keyonte George,2003-11-08,76,185,2023,georgke01,Guard,29,active,true
155,1642273,Kyshawn,George,Kyshawn George,2003-12-12,80,200,2024,georgky01,Forward,31,active,true
156,202331,Paul,George,Paul George,1990-05-02,80,230,2010,georgpa01,Forward,22,active,true
157,1630581,Josh,Giddey,Josh Giddey,2002-10-10,79,214,2021,giddejo01,Guard,8,active,true
158,1628983,Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,1998-07-12,78,195,2018,gilgesh01,Guard,27,active,true
159,1630264,Anthony,Gill,Anthony Gill,1992-10-17,79,230,Undrafted,gillan01,Forward,31,active,true
160,1631221,Collin,Gillespie,Collin Gillespie,1999-06-25,73,195,Undrafted,gilleco01,Guard,23,active,true
161,203497,Rudy,Gobert,Rudy Gobert,1992-06-26,85,258,2013,goberru01,Center,17,active,true
162,1642884,Vladislav,Goldin,Vladislav Goldin,2001-05-12,84,250,Undrafted,goldivl01,Center,15,active,true
163,1642864,Hugo,González,Hugo González,2006-02-05,78,200,2025,gonzahu01,Guard,5,active,true
164,1630692,Jordan,Goodwin,Jordan Goodwin,1998-10-23,75,215,Undrafted,goodwjo01,Guard,23,active,true
165,203932,Aaron,Gordon,Aaron Gordon,1995-09-16,80,235,2014,gordoaa01,Forward,10,active,true
166,201569,Eric,Gordon,Eric Gordon,1988-12-25,75,215,2008,gordoer01,Guard,,active,true
167,203924,Jerami,Grant,Jerami Grant,1994-03-12,79,213,2014,grantje01,Forward,24,active,true
168,1631260,AJ,Green,AJ Green,1999-09-27,76,190,Undrafted,greenaj01,Guard,16,active,true
169,203110,Draymond,Green,Draymond Green,1990-03-04,78,230,2012,greendr01,Forward,11,active,true
170,1630224,Jalen,Green,Jalen Green,2002-02-09,76,186,2021,greenja05,Guard,23,active,true
171,1629750,Javonte,Green,Javonte Green,1993-07-23,77,205,Undrafted,greenja02,Guard,32,active,true
172,201145,Jeff,Green,Jeff Green,1986-08-28,80,235,2007,greenje02,Forward,12,active,true
173,1630182,Josh,Green,Josh Green,2000-11-16,78,200,2020,greenjo02,Guard,33,active,true
174,1629656,Quentin,Grimes,Quentin Grimes,2000-05-08,77,207,2021,grimequ01,Guard,22,active,true
175,1631243,Mouhamed,Gueye,Mouhamed Gueye,2002-11-09,83,210,2023,gueyemo02,Forward,4,active,true
176,1629060,Rui,Hachimura,Rui Hachimura,1998-02-08,80,230,2019,hachiru01,Forward,14,active,true
177,1630169,Tyrese,Haliburton,Tyrese Haliburton,2000-02-29,77,185,2020,halibty01,Guard,21,active,true
178,1641790,PJ,Hall,PJ Hall,2002-02-21,80,245,Undrafted,hallpj01,Center,33,active,true
179,203501,Tim,Hardaway Jr.,Tim Hardaway Jr.,1992-03-16,77,205,2013,hardati02,Guard-Forward,10,active,true
180,201935,James,Harden,James Harden,1989-08-26,77,220,2009,hardeja01,Guard,6,active,true
181,1630702,Jaden,Hardy,Jaden Hardy,2002-07-05,75,198,2022,hardyja02,Guard,31,active,true
182,1641989,Elijah,Harkless,Elijah Harkless,2000-02-03,75,195,Undrafted,harklej01,Guard,29,active,true
183,1642844,Dylan,Harper,Dylan Harper,2006-03-02,77,215,2025,harpedy01,Guard,26,active,true
184,1631199,Ron,Harper Jr.,Ron Harper Jr.,2000-04-12,77,233,Undrafted,harpero02,Guard-Forward,5,active,true
185,203914,Gary,Harris,Gary Harris,1994-09-14,76,210,2014,harriga01,Guard,16,active,true
186,1630284,Kevon,Harris,Kevon Harris,1997-06-24,77,216,Undrafted,harrike01,Guard,20,active,true
187,202699,Tobias,Harris,Tobias Harris,1992-07-15,80,226,2011,harrito02,Forward,32,active,true
188,1628404,Josh,Hart,Josh Hart,1995-03-06,77,215,2017,hartjo01,Guard,19,active,true
189,1628392,Isaiah,Hartenstein,Isaiah Hartenstein,1998-05-05,84,250,2017,harteis01,Center-Forward,27,active,true
190,1630573,Sam,Hauser,Sam Hauser,1997-12-08,79,217,Undrafted,hausesa01,Forward,5,active,true
191,1641722,Jordan,Hawkins,Jordan Hawkins,2002-04-29,77,190,2023,hawkijo01,Guard,7,active,true
192,1629637,Jaxson,Hayes,Jaxson Hayes,2000-05-23,84,220,2019,hayesja02,Center-Forward,14,active,true
193,1628502,Nigel,Hayes-Davis,Nigel Hayes-Davis,1994-12-16,79,254,Undrafted,hayesni01,Forward,,active,true
194,1630703,Scoot,Henderson,Scoot Henderson,2004-02-03,75,207,2023,hendesc01,Guard,24,active,true
195,1641707,Taylor,Hendricks,Taylor Hendricks,2003-11-22,81,215,2023,hendrta01,Forward,30,active,true
196,1642935,Chucky,Hepburn,Chucky Hepburn,2003-02-09,72,190,Undrafted,hepbuch01,Guard,28,active,true
197,1629639,Tyler,Herro,Tyler Herro,2000-01-20,77,195,2019,herroty01,Guard,15,active,true
198,1627741,Buddy,Hield,Buddy Hield,1992-12-17,76,220,2016,hieldbu01,Guard,4,active,true
199,1629312,Haywood,Highsmith,Haywood Highsmith,1996-12-09,77,220,2018,highsha01,Forward,23,active,true
200,1628988,Aaron,Holiday,Aaron Holiday,1996-09-30,72,185,2018,holidaa01,Guard,12,active,true
201,201950,Jrue,Holiday,Jrue Holiday,1990-06-12,76,220,2009,holidjr01,Guard,24,active,true
202,1641842,Ronald,Holland II,Ronald Holland II,2005-07-07,80,206,2024,hollaro01,Forward,32,active,true
203,1641747,DaRon,Holmes II,DaRon Holmes II,2002-08-15,81,225,2024,holmeda01,Forward,10,active,true
204,1631096,Chet,Holmgren,Chet Holmgren,2002-05-01,85,208,2022,holmgch01,Center-Forward,27,active,true
205,201143,Al,Horford,Al Horford,1986-06-03,80,240,2007,horfoal01,Center-Forward,11,active,true
206,1631216,Caleb,Houstan,Caleb Houstan,2003-01-09,80,205,2022,houstca01,Guard,,active,true
207,1641724,Jett,Howard,Jett Howard,2003-09-14,80,215,2023,howarje01,Guard,20,active,true
208,1628989,Kevin,Huerter,Kevin Huerter,1998-08-27,78,190,2018,huertke01,Guard-Forward,32,active,true
209,1630643,Jay,Huff,Jay Huff,1997-08-25,85,240,Undrafted,huffja01,Center,21,active,true
210,1630574,Ariel,Hukporti,Ariel Hukporti,2002-04-12,84,246,2024,hukpoar01,Center,19,active,true
211,1629631,De'Andre,Hunter,De'Andre Hunter,1997-12-02,79,221,2019,huntede01,Forward-Guard,25,active,true
212,1643047,CJ,Huntley,CJ Huntley,2002-01-06,83,230,Undrafted,huntlcj01,Forward,23,active,true
213,1630538,Bones,Hyland,Bones Hyland,2000-09-14,74,169,2021,hylanbo01,Guard,17,active,true
214,1642345,Oso,Ighodaro,Oso Ighodaro,2002-07-14,83,235,2024,ighodos01,Forward,23,active,true
215,204060,Joe,Ingles,Joe Ingles,1987-10-02,80,220,Undrafted,inglejo01,Forward-Guard,17,active,true
216,1627742,Brandon,Ingram,Brandon Ingram,1997-09-02,80,190,2016,ingrabr01,Forward,28,active,true
217,1631127,Harrison,Ingram,Harrison Ingram,2002-11-27,77,230,2024,ingraha01,Forward,26,active,true
218,202681,Kyrie,Irving,Kyrie Irving,1992-03-23,74,195,2011,irvinky01,Guard,9,active,true
219,1628371,Jonathan,Isaac,Jonathan Isaac,1997-10-03,82,230,2017,isaacjo01,Forward,20,active,true
220,1631093,Jaden,Ivey,Jaden Ivey,2002-02-13,75,195,2022,iveyja01,Guard,,active,true
221,1641713,GG,Jackson,GG Jackson,2004-12-17,81,210,2023,jacksgg01,Forward,30,active,true
222,1630543,Isaiah,Jackson,Isaiah Jackson,2002-01-10,80,205,2021,jacksis01,Forward,13,active,true
223,1631245,Quenton,Jackson,Quenton Jackson,1998-09-15,76,173,Undrafted,jacksqu01,Guard,21,active,true
224,1641748,Andre,Jackson Jr.,Andre Jackson Jr.,2001-11-13,78,209,2023,jacksan01,Guard,16,active,true
225,1628991,Jaren,Jackson Jr.,Jaren Jackson Jr.,1999-09-15,82,242,2018,jacksja02,Forward-Center,29,active,true
226,1631218,Trayce,Jackson-Davis,Trayce Jackson-Davis,2000-02-22,81,245,2023,jackstr02,Forward,28,active,true
227,1642857,Kasparas,Jakučionis,Kasparas Jakučionis,2006-05-29,77,200,2025,jakucka01,Guard,15,active,true
228,1642355,Bronny,James,Bronny James,2004-10-06,74,210,2024,jamesbr02,Guard,14,active,true
229,2544,LeBron,James,LeBron James,1984-12-30,81,250,2003,jamesle01,Forward,14,active,true
230,1642883,Sion,James,Sion James,2002-12-04,77,220,2025,jamessi01,Guard,33,active,true
231,1631170,Jaime,Jaquez Jr.,Jaime Jaquez Jr.,2001-02-18,78,225,2023,jaqueja01,Guard,15,active,true
232,1641998,Trey,Jemison III,Trey Jemison III,1999-11-28,82,270,Undrafted,jemistr01,Center,19,active,true
233,1642450,Daniss,Jenkins,Daniss Jenkins,2001-08-17,76,165,Undrafted,jenkida01,Guard,32,active,true
234,1629660,Ty,Jerome,Ty Jerome,1997-07-08,77,195,2019,jeromty01,Guard-Forward,30,active,true
235,1630198,Isaiah,Joe,Isaiah Joe,1999-07-02,76,165,2020,joeis01,Guard,27,active,true
236,1642358,AJ,Johnson,AJ Johnson,2004-12-01,77,160,2024,johnsaj01,Guard,9,active,true
237,1629661,Cameron,Johnson,Cameron Johnson,1996-03-03,80,210,2019,johnsca02,Forward,10,active,true
238,1630552,Jalen,Johnson,Jalen Johnson,2001-12-18,80,219,2021,johnsja05,Forward,4,active,true
239,1629640,Keldon,Johnson,Keldon Johnson,1999-10-11,78,220,2019,johnske04,Forward-Guard,26,active,true
240,1642352,Keshad,Johnson,Keshad Johnson,2001-06-23,78,225,Undrafted,johnske10,Forward,15,active,true
241,1642848,Tre,Johnson,Tre Johnson,2006-03-07,77,190,2025,johnstr03,Guard,31,active,true
242,203999,Nikola,Jokić,Nikola Jokić,1995-02-19,83,284,2014,jokicni01,Center,10,active,true
243,1641732,Colby,Jones,Colby Jones,2002-05-28,78,207,2023,jonesco02,Guard,,active,true
244,1642938,Curtis,Jones,Curtis Jones,2001-10-04,75,195,Undrafted,jonescu01,Guard,10,active,true
245,1630529,Herbert,Jones,Herbert Jones,1998-10-06,79,206,2021,joneshe01,Forward,7,active,true
246,1642403,Isaac,Jones,Isaac Jones,2000-07-11,80,245,Undrafted,jonesis01,Forward,32,active,true
247,1642880,Kam,Jones,Kam Jones,2002-02-25,76,200,2025,joneska03,Guard,21,active,true
248,1642461,Spencer,Jones,Spencer Jones,2001-06-14,79,225,Undrafted,jonessp01,Forward,10,active,true
249,1630200,Tre,Jones,Tre Jones,2000-01-08,73,190,2020,jonestr01,Guard,8,active,true
250,1626145,Tyus,Jones,Tyus Jones,1996-05-10,72,196,2015,jonesty01,Guard,10,active,true
251,1642357,David,Jones Garcia,David Jones Garcia,2001-11-24,76,210,Undrafted,jonesda06,Guard,26,active,true
252,1627884,Derrick,Jones Jr.,Derrick Jones Jr.,1997-02-15,78,210,Undrafted,jonesde02,Forward,13,active,true
253,201599,DeAndre,Jordan,DeAndre Jordan,1988-07-21,83,265,2008,jordade01,Center,7,active,true
254,1631107,Nikola,Jović,Nikola Jović,2003-06-09,82,205,2022,jovicni01,Forward,15,active,true
255,1630548,Johnny,Juzang,Johnny Juzang,2001-03-17,79,226,Undrafted,juzanjo01,Guard,,active,true
256,1641750,Ryan,Kalkbrenner,Ryan Kalkbrenner,2002-01-17,85,256,2025,kalkbry01,Center,33,active,true
